Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age,Aircraft  Manufacturer,Aircraft Model
EVA Air,EVA Air,ATR 42/72,2,12,261,2,137,22,44,0.3,ATR,42/72
EVA Air,Uni Air,ATR 42/72,13,12,261,13,137,22,287,3,ATR,42/72
FedEx Express,FedEx Express,ATR 42/72,45,12,7,52,137,22,995,25.2,ATR,42/72
Finnair,Finnair,ATR 42/72,565,12,15,15,137,22,0,18,ATR,42/72
Flybe,Flybe,ATR 42/72,9,12,261,9,2,22,199,6.6,ATR,42/72
Garuda Indonesia,Garuda Indonesia,ATR 42/72,15,12,261,15,15,22,332,1.9,ATR,42/72
Grupo Aeromexico,Aeromexico Express,ATR 42/72,2,12,261,2,137,22,44,3.5,ATR,42/72
Hawaiian Airlines,Hawaiian Airlines,ATR 42/72,3,12,261,54,137,22,66,18,ATR,42/72
IAG,Air Nostrum/Iberia Regional,ATR 42/72,5,12,14,19,137,22,111,4.5,ATR,42/72
IAG,Aer Lingus Regional,ATR 42/72,11,12,12,23,137,22,243,4.8,ATR,42/72
Jet Airways,Jet Airways,ATR 42/72,13,12,8,21,137,22,287,7.4,ATR,42/72
Lion Air,Malindo Air,ATR 42/72,16,12,261,16,137,22,354,2.1,ATR,42/72
Lion Air,Wings Air,ATR 42/72,51,3,261,54,10,22,1127,3.6,ATR,42/72
Lion Air,Thai Lion Air,ATR 42/72,565,12,1,1,137,22,0,18,ATR,42/72
LOT Polish Airlines,LOT Polish Airlines,ATR 42/72,565,12,8,8,137,22,0,18,ATR,42/72
Lufthansa,Lufthansa CityLine,ATR 42/72,565,12,7,7,137,22,0,18,ATR,42/72
Lufthansa,Eurowings,ATR 42/72,565,12,45,45,137,22,0,18,ATR,42/72
Lufthansa,Air Dolomiti,ATR 42/72,565,12,29,29,137,22,0,18,ATR,42/72
Malaysia Airlines,Firefly,ATR 42/72,21,12,261,21,137,22,464,5,ATR,42/72
Malaysia Airlines,MASwings,ATR 42/72,13,12,1,14,137,22,287,6.3,ATR,42/72
Oman Air,Oman Air,ATR 42/72,565,12,4,4,137,22,0,18,ATR,42/72
Pakistan International Airlines,Pakistan International Airlines,ATR 42/72,10,12,2,12,137,22,221,7.3,ATR,42/72
Royal Air Maroc,Royal Air Maroc,ATR 42/72,565,12,4,4,137,22,0,18,ATR,42/72
Ryanair,RyanAir,ATR 42/72,565,12,4,4,137,22,0,18,ATR,42/72
SAS Group,Scandinavian Airlines,ATR 42/72,13,12,7,20,137,22,287,2,ATR,42/72
TAP Portugal,TAP Express,ATR 42/72,8,12,261,8,137,22,177,1.2,ATR,42/72
Thai Airways,Nok Air,ATR 42/72,2,12,2,4,137,22,44,9.5,ATR,42/72
Thai Airways,Thai Airways,ATR 42/72,565,12,4,4,137,22,0,18,ATR,42/72
Trans States Airlines,Trans States Airlines,ATR 42/72,565,12,12,12,137,22,0,18,ATR,42/72
Tunisair,Tunisair Express,ATR 42/72,3,12,1,4,137,22,66,14.2,ATR,42/72
Turkish Airlines,Anadolujet (100%),ATR 42/72,565,12,2,2,137,22,0,18,ATR,42/72
Utair,Utair,ATR 42/72,15,12,15,30,137,22,332,5.3,ATR,42/72
Vietnam Airlines,Cambodia Angkor Air,ATR 42/72,3,12,2,5,137,22,66,7,ATR,42/72
Vietnam Airlines,Vietnam Air Service Company,ATR 42/72,4,12,1,5,137,22,88,11,ATR,42/72
Vietnam Airlines,Vietnam Airlines,ATR 42/72,565,12,24,24,137,22,0,18,ATR,42/72
Virgin Australia,Virgin Australia,ATR 42/72,14,12,261,14,137,22,309,4.4,ATR,42/72
Virgin Australia,Virgin Australia Regional,ATR 42/72,565,12,14,14,137,22,0,18,ATR,42/72
FedEx Express,FedEx Feeder Fleet,ATR 42-300F/-320F,26,12,261,54,137,20,507,18,ATR,42-300F/-320F
Japan Airlines,Japan Air Commuter (60% owned),ATR 42-600,565,12,261,54,8,20,0,18,ATR,42-600
Royal Air Maroc,Royal Air Maroc Express,ATR 42-600,565,12,261,2,137,20,0,18,ATR,42-600
FedEx Express,FedEx Feeder Fleet,ATR 72-200F,21,12,261,54,137,25,519,18,ATR,72-200F
Royal Air Maroc,Royal Air Maroc Express,ATR 72-600,5,12,5,10,137,25,124,4.5,ATR,72-600
Lufthansa,Swiss Global Airlines,Avro RJ100,10,12,261,54,137,30,295,18,Avro,RJ100
American Airlines,American Airlines,Boeing 717,565,12,29,29,137,37,0,18,Boeing,717
Delta Airlines,Delta Airlines,Boeing 717,91,12,261,91,137,37,3367,15.2,Boeing,717
Hawaiian Airlines,Hawaiian Airlines,Boeing 717,18,2,1,21,2,37,666,15.3,Boeing,717
Lufthansa,Germanwings,Boeing 717,565,12,2,2,137,37,0,18,Boeing,717
Qantas Airways,QantasLink,Boeing 717,20,12,3,23,137,37,740,14.8,Boeing,717
Qantas Airways,Jetstar Airways,Boeing 717,565,12,14,14,137,37,0,18,Boeing,717
Air Canada,Air Canada,Boeing 727,565,12,28,28,137,4,0,18,Boeing,727
Air France/KLM,Air France,Boeing 727,565,12,5,5,137,4,0,18,Boeing,727
Air Transat,Air Transat,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
Avianca,Avianca,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
Delta Airlines,Delta Airlines,Boeing 727,565,12,7,7,137,4,0,18,Boeing,727
FedEx Express,FedEx Express,Boeing 727,565,12,72,72,137,4,0,18,Boeing,727
Korean Air,Korean Air,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
Lufthansa,Lufthansa,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
TAP Portugal,TAP Portugal,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
Thomas Cook Airlines,Condor,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
Tunisair,Tunisair,Boeing 727,565,12,1,1,137,4,0,18,Boeing,727
United Airlines,United Airlines,Boeing 727,565,12,3,3,137,4,0,18,Boeing,727
Aegean Airlines,Aegean Airlines,Boeing 737,565,12,17,17,137,74,0,18,Boeing,737
Aeroflot,Aeroflot,Boeing 737,20,1,16,37,26,74,1480,1.6,Boeing,737
Aeroflot,Pobeda,Boeing 737,12,12,261,12,137,74,888,2.1,Boeing,737
Aeroflot,Rossiya Airlines,Boeing 737,17,1,5,23,137,74,1258,9.6,Boeing,737
Aeroflot,Aurora Airlines,Boeing 737,565,12,5,5,137,74,0,18,Boeing,737
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40,1,77,118,137,74,2959,6.6,Boeing,737
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,565,12,8,8,137,74,0,18,Boeing,737
Air Algerie,Air Algerie,Boeing 737,31,1,38,70,2,74,2293,8.6,Boeing,737
Air Astana,Air Astana,Boeing 737,565,12,4,4,137,74,0,18,Boeing,737
Air Berlin,Air Berlin,Boeing 737,14,12,141,155,137,74,1036,9.5,Boeing,737
Air Canada,Air Canada,Boeing 737,565,12,44,44,61,74,0,18,Boeing,737
Air Canada,Air Canada Jetz,Boeing 737,565,12,2,2,137,74,0,18,Boeing,737
Air China,Air China,Boeing 737,144,1,75,220,70,74,10653,6.6,Boeing,737
Air China,Shenzhen Airlines,Boeing 737,87,12,22,109,137,74,6436,6.5,Boeing,737
Air China,Shandong Airlines (51%),Boeing 737,98,1,16,115,36,74,7250,4.7,Boeing,737
Air China,Air China Inner Mongolia,Boeing 737,3,12,261,3,137,74,222,9.1,Boeing,737
Air China,Kunming Airlines (80%),Boeing 737,18,12,2,20,10,74,1332,4.7,Boeing,737
Air China,Dalian Airlines (80%),Boeing 737,9,12,261,9,137,74,666,4.5,Boeing,737
Air Europa,Air Europa,Boeing 737,21,12,67,88,25,74,1554,8,Boeing,737
Air France/KLM,Air France,Boeing 737,565,12,63,63,137,74,0,18,Boeing,737
Air France/KLM,KLM,Boeing 737,48,12,44,92,137,74,3551,10.3,Boeing,737
Air France/KLM,Transavia France,Boeing 737,26,12,261,26,137,74,1923,5.5,Boeing,737
Air France/KLM,Transavia,Boeing 737,37,2,74,113,137,74,2737,9,Boeing,737
Air France/KLM,Martinair,Boeing 737,565,12,3,3,137,74,0,18,Boeing,737
Air India,Air India Express,Boeing 737,23,12,8,31,137,74,1702,6.7,Boeing,737
Air India,Air India,Boeing 737,565,12,5,5,137,74,0,18,Boeing,737
Air India,Air India Regional,Boeing 737,565,12,1,1,137,74,0,18,Boeing,737
Air Namibia,Air Namibia,Boeing 737,565,12,12,12,137,419,38425,18,Boeing,737
Air New Zealand,Air New Zealand,Boeing 737,565,12,51,51,137,74,0,18,Boeing,737
Air Transat,Air Transat,Boeing 737,18,12,7,25,137,74,1332,10.9,Boeing,737
AirAsia,AirAsia,Boeing 737,565,12,32,32,137,74,0,18,Boeing,737
AirAsia,Thai AirAsia,Boeing 737,565,12,14,14,137,74,0,18,Boeing,737
AirAsia,Indonesia AirAsia,Boeing 737,565,12,12,12,137,74,0,18,Boeing,737
Alaska Airlines,Alaska Airlines,Boeing 737,157,2,39,198,57,74,11615,9,Boeing,737
Alitalia,Alitalia,Boeing 737,565,12,2,2,137,74,0,18,Boeing,737
All Nippon Airways,ANA Wings,Boeing 737,18,12,7,25,137,74,1332,19.6,Boeing,737
All Nippon Airways,All Nippon Airways,Boeing 737,43,12,44,87,137,74,3181,5.5,Boeing,737
American Airlines,American Airlines,Boeing 737,282,4,46,332,121,74,20862,7.7,Boeing,737
Asiana Airlines,Asiana Airlines,Boeing 737,565,12,34,34,137,74,0,18,Boeing,737
Asiana Airlines,Air Busan,Boeing 737,565,12,7,7,137,74,0,18,Boeing,737
Atlas Air,Atlas Air,Boeing 737,565,12,1,1,137,74,0,18,Boeing,737
Avianca,Avianca,Boeing 737,565,12,2,2,137,74,0,18,Boeing,737
China Airlines,China Airlines,Boeing 737,22,1,17,40,2,74,1628,8.9,Boeing,737
China Airlines,Mandarin Airlines (93.99%),Boeing 737,1,12,5,6,1,74,74,1.3,Boeing,737
China Eastern Airlines,China Eastern Airlines,Boeing 737,125,1,47,173,41,74,9248,4.9,Boeing,737
China Eastern Airlines,China United Airlines,Boeing 737,32,1,11,44,137,74,2367,5.4,Boeing,737
China Eastern Airlines,Shanghai Airlines,Boeing 737,75,12,21,96,137,74,5549,5,Boeing,737
China Southern Airlines,China Southern Airlines,Boeing 737,169,12,65,234,1,74,12503,6.8,Boeing,737
Copa Airlines,Copa Airlines,Boeing 737,76,1,33,110,65,74,5622,6.3,Boeing,737
Copa Airlines,Copa Airlines Colombia,Boeing 737,1,12,261,1,137,74,74,17.2,Boeing,737
Delta Airlines,Delta Airlines,Boeing 737,154,9,106,269,56,74,11393,9.2,Boeing,737
easyJet,easyJet,Boeing 737,565,12,84,84,137,74,0,18,Boeing,737
easyJet,easyJet - Switzerland,Boeing 737,565,12,8,8,137,74,0,18,Boeing,737
EgyptAir,EgyptAir,Boeing 737,22,12,15,37,7,74,1628,7.7,Boeing,737
El Al,El Al,Boeing 737,23,12,6,29,137,74,1702,9.1,Boeing,737
El Al,Sun d'Or,Boeing 737,2,12,261,2,137,74,148,17.4,Boeing,737
El Al,Up,Boeing 737,4,12,261,4,137,74,296,12.9,Boeing,737
Emirates,Emirates,Boeing 737,565,12,1,1,137,74,0,18,Boeing,737
Ethiopian Airlines,Ethiopian Airlines,Boeing 737,21,12,9,30,30,74,1554,6.5,Boeing,737
FedEx Express,FedEx Express,Boeing 737,565,12,5,5,137,74,0,18,Boeing,737
Finnair,Finnair,Boeing 737,565,12,2,2,137,74,0,18,Boeing,737
Flybe,Flybe,Boeing 737,565,12,4,4,137,74,0,18,Boeing,737
FlyDubai,FlyDubai,Boeing 737,56,1,3,60,78,74,4143,3.8,Boeing,737
Frontier Airlines,Frontier Airlines,Boeing 737,565,12,42,42,137,74,0,18,Boeing,737
Garuda Indonesia,Garuda Indonesia,Boeing 737,74,12,75,149,50,74,5475,5.3,Boeing,737
Garuda Indonesia,Citilink,Boeing 737,4,12,14,18,137,74,296,19.1,Boeing,737
Gol Linhas Aéreas,Gol Linhas Aéreas,Boeing 737,124,12,67,191,134,74,9174,8.1,Boeing,737
Grupo Aeromexico,Aeromexico,Boeing 737,53,12,21,74,82,74,3921,8.2,Boeing,737
Gulf Air,Gulf Air,Boeing 737,565,12,14,14,137,74,0,18,Boeing,737
Hainan Airlines,Hainan Airlines,Boeing 737,126,2,45,173,4,74,9321,5.5,Boeing,737
Hainan Airlines,China Xinhua Airlines (100%),Boeing 737,5,12,12,17,137,74,370,12.1,Boeing,737
Hainan Airlines,Lucky Air (86.68%),Boeing 737,26,2,6,34,137,74,1923,5.3,Boeing,737
Hainan Airlines,Urumqi Airlines (70%),Boeing 737,9,12,261,9,137,74,666,5.6,Boeing,737
IAG,British Airways,Boeing 737,565,12,123,123,137,74,0,18,Boeing,737
IAG,Iberia,Boeing 737,565,12,10,10,137,74,0,18,Boeing,737
IAG,Aer Lingus,Boeing 737,565,12,38,38,137,74,0,18,Boeing,737
Iceland Air Group,Iceland Air Group,Boeing 737,565,12,8,8,16,74,0,18,Boeing,737
Japan Airlines,Japan Airlines,Boeing 737,50,12,7,57,137,74,3699,6.9,Boeing,737
Japan Airlines,Japan Transocean Air (72.8%),Boeing 737,13,1,22,36,10,74,962,16.6,Boeing,737
Jet Airways,Jet Airways,Boeing 737,70,12,53,123,75,74,5179,7.4,Boeing,737
Jet2,Jet2,Boeing 737,50,4,17,71,25,74,3699,18.8,Boeing,737
Kenya Airways,Kenya Airways,Boeing 737,12,12,16,28,137,74,888,8.1,Boeing,737
Kenya Airways,Jambojet Limited,Boeing 737,2,12,1,3,137,74,148,19.7,Boeing,737
Korean Air,Korean Air,Boeing 737,40,12,11,51,51,74,2959,9.6,Boeing,737
Korean Air,Jin Air,Boeing 737,18,12,261,18,137,74,1332,11.2,Boeing,737
Lion Air,Lion Air,Boeing 737,108,4,19,131,204,74,7990,5.3,Boeing,737
Lion Air,Batik Air,Boeing 737,14,12,6,20,137,74,1036,2.6,Boeing,737
Lion Air,Malindo Air,Boeing 737,25,1,1,27,137,74,1850,2,Boeing,737
Lion Air,Thai Lion Air,Boeing 737,24,12,261,24,8,74,1776,1.6,Boeing,737
LOT Polish Airlines,LOT Polish Airlines,Boeing 737,3,12,23,26,10,74,222,19.9,Boeing,737
Lufthansa,Lufthansa,Boeing 737,565,12,155,155,137,74,0,18,Boeing,737
Lufthansa,Lufthansa Cargo,Boeing 737,565,12,4,4,137,74,0,18,Boeing,737
Lufthansa,Austrian Airlines,Boeing 737,565,12,13,13,137,74,0,18,Boeing,737
Lufthansa,Brussels Airlines,Boeing 737,565,12,11,11,137,74,0,18,Boeing,737
Lufthansa,Eurowings,Boeing 737,2,12,1,3,137,74,148,15.7,Boeing,737
Lufthansa,Brussels Airlines,Boeing 737,565,12,11,11,137,74,0,18,Boeing,737
Malaysia Airlines,Malaysia Airlines,Boeing 737,56,12,111,167,25,74,4143,4.7,Boeing,737
Malaysia Airlines,Firefly,Boeing 737,565,12,8,8,137,74,0,18,Boeing,737
Meridiana,Air Italy,Boeing 737,7,12,6,13,137,419,38425,16.6,Boeing,737
Monarch Airlines,Monarch Airlines,Boeing 737,565,12,19,19,30,74,0,18,Boeing,737
Norwegian Air,Norwegian Air,Boeing 737,56,12,66,122,137,74,4143,4.1,Boeing,737
Norwegian Air,Norwegian UK,Boeing 737,1,12,261,1,137,74,74,3.3,Boeing,737
Norwegian Air,Norwegian Air International,Boeing 737,46,5,3,54,137,74,3403,3.6,Boeing,737
Oman Air,Oman Air,Boeing 737,29,1,15,45,27,74,2145,5.1,Boeing,737
Pakistan International Airlines,Pakistan International Airlines,Boeing 737,565,12,7,7,137,74,0,18,Boeing,737
Pegasus Airlines,Pegasus Airlines,Boeing 737,58,12,40,98,5,74,4291,6.4,Boeing,737
Philippine Airlines,Philippine Airlines,Boeing 737,565,12,18,18,137,74,0,18,Boeing,737
Qantas Airways,Australian Air Express,Boeing 737,565,12,4,4,137,74,0,18,Boeing,737
Qantas Airways,Qantas Airways,Boeing 737,71,1,43,115,137,74,5253,10.2,Boeing,737
Qantas Airways,Jetconnect,Boeing 737,8,12,17,25,137,74,592,6.3,Boeing,737
Qantas Airways,Qantas Freight,Boeing 737,4,12,261,54,1,74,296,18,Boeing,737
Qatar Airways,Qatar Airways,Boeing 737,565,12,1,1,137,74,0,18,Boeing,737
Royal Air Maroc,Royal Air Maroc,Boeing 737,37,12,27,64,137,74,2737,10.9,Boeing,737
Ryanair,RyanAir,Boeing 737,366,10,100,476,205,74,27077,6.6,Boeing,737
S7 Airlines,S7 Airlines,Boeing 737,19,12,14,33,15,74,1406,7.4,Boeing,737
SAS Group,Scandinavian Airlines,Boeing 737,81,12,41,122,137,74,5992,13.9,Boeing,737
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 737,565,12,26,26,137,74,0,18,Boeing,737
Singapore Airlines,Singapore Airlines,Boeing 737,565,12,5,5,137,74,0,18,Boeing,737
Singapore Airlines,Singapore Airlines Cargo,Boeing 737,565,12,1,1,137,74,0,18,Boeing,737
Singapore Airlines,SilkAir,Boeing 737,17,12,6,23,38,74,1258,1.8,Boeing,737
Skymark Airlines,Skymark Airlines,Boeing 737,26,12,7,33,137,74,1923,5.7,Boeing,737
South African Airways,South African Airways,Boeing 737,9,12,43,52,137,74,666,17.3,Boeing,737
South African Airways,Mango,Boeing 737,10,12,3,13,137,74,740,16.2,Boeing,737
Southwest Airlines,Southwest Airlines,Boeing 737,718,38,195,952,284,74,53118,11.7,Boeing,737
SpiceJet,SpiceJet,Boeing 737,28,12,37,65,42,74,2071,6.8,Boeing,737
SunExpress,SunExpress,Boeing 737,51,12,37,88,40,74,3773,8.5,Boeing,737
SunExpress,SunExpress Deutschland,Boeing 737,16,12,4,20,137,74,1184,13.6,Boeing,737
TAP Portugal,TAP Portugal,Boeing 737,565,12,25,25,137,74,0,18,Boeing,737
Thai Airways,Thai Airways,Boeing 737,2,12,12,14,137,74,148,24,Boeing,737
Thai Airways,Nok Air,Boeing 737,23,12,16,39,11,74,1702,7.7,Boeing,737
Thomas Cook Airlines,Condor,Boeing 737,565,12,17,17,137,74,0,18,Boeing,737
TUI Group,Thomson Airways,Boeing 737,33,12,13,46,137,74,2441,5.8,Boeing,737
TUI Group,TUI Airlines Netherlands,Boeing 737,5,12,5,10,137,74,370,7.9,Boeing,737
TUI Group,TUI Airlines Belgium,Boeing 737,20,12,261,20,1,74,1480,7.3,Boeing,737
TUI Group,TUIfly,Boeing 737,30,12,53,83,137,74,2219,8.2,Boeing,737
TUI Group,TUIfly Nordic,Boeing 737,6,12,2,8,137,74,444,7.2,Boeing,737
Tunisair,Tunisair,Boeing 737,7,12,25,32,137,74,518,16.9,Boeing,737
Turkish Airlines,Turkish Airlines,Boeing 737,92,12,50,142,75,74,6806,6.4,Boeing,737
Turkish Airlines,Anadolujet (100%),Boeing 737,34,12,36,70,137,74,2515,13,Boeing,737
United Airlines,United Airlines,Boeing 737,321,2,295,620,103,74,23748,10.1,Boeing,737
Utair,Utair,Boeing 737,47,12,8,55,137,74,3477,18.1,Boeing,737
Vietnam Airlines,Vietnam Airlines,Boeing 737,565,12,5,5,137,74,0,18,Boeing,737
Vietnam Airlines,Jetstar Pacific Airlines,Boeing 737,565,12,5,5,137,74,0,18,Boeing,737
Virgin Australia,Virgin Australia,Boeing 737,75,12,26,101,40,74,5549,6.7,Boeing,737
Virgin Australia,Virgin Samoa,Boeing 737,1,12,1,2,137,74,74,5.1,Boeing,737
Virgin Australia,Tigerair Australia,Boeing 737,3,1,261,4,137,74,222,12.5,Boeing,737
WestJet,WestJet,Boeing 737,114,1,40,155,137,74,8434,8.3,Boeing,737
Hainan Airlines,Chang An Airlines (67.01%),Boeing 737-800,3,12,261,54,137,96,288,18,Boeing,737-800
Aeroflot,Rossiya Airlines,Boeing 747,7,2,261,9,2,316,2211,16.7,Boeing,747
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,565,12,17,17,137,316,0,18,Boeing,747
Air Algerie,Air Algerie,Boeing 747,565,12,14,14,137,316,0,18,Boeing,747
Air Canada,Air Canada,Boeing 747,565,12,15,15,137,316,0,18,Boeing,747
Air China,Air China,Boeing 747,10,12,18,28,137,316,3158,7.5,Boeing,747
Air China,Air China Cargo,Boeing 747,3,12,12,15,137,316,947,14.5,Boeing,747
Air France/KLM,Air France,Boeing 747,565,12,73,73,137,316,0,18,Boeing,747
Air France/KLM,KLM,Boeing 747,20,12,26,46,137,316,6316,21.7,Boeing,747
Air France/KLM,Martinair,Boeing 747,1,12,8,9,137,316,316,26.6,Boeing,747
Air India,Air India,Boeing 747,3,12,28,31,137,316,947,21,Boeing,747
Air Mauritius,Air Mauritius,Boeing 747,565,12,5,5,137,419,38425,18,Boeing,747
Air Namibia,Air Namibia,Boeing 747,565,12,6,6,137,419,38425,18,Boeing,747
Air New Zealand,Air New Zealand,Boeing 747,565,12,15,15,137,316,0,18,Boeing,747
AirAsia,AirAsia,Boeing 747,565,12,3,3,137,316,0,18,Boeing,747
Alitalia,Alitalia,Boeing 747,565,12,21,21,137,316,0,18,Boeing,747
All Nippon Airways,All Nippon Airways,Boeing 747,565,12,46,46,137,316,0,18,Boeing,747
American Airlines,American Airlines,Boeing 747,565,12,19,19,137,316,0,18,Boeing,747
Asiana Airlines,Asiana Airlines,Boeing 747,14,12,4,18,137,316,4421,20.9,Boeing,747
Atlas Air,Atlas Air,Boeing 747,32,12,45,77,137,316,10106,14.1,Boeing,747
Avianca,Avianca,Boeing 747,565,12,7,7,137,316,0,18,Boeing,747
Cathay Pacific,Cathay Pacific,Boeing 747,21,12,63,84,137,316,6632,5.9,Boeing,747
Cathay Pacific,Air Hong Kong,Boeing 747,3,12,8,11,137,316,947,25.8,Boeing,747
China Airlines,China Airlines,Boeing 747,25,12,35,60,137,316,7895,13.6,Boeing,747
China Airlines,Mandarin Airlines (93.99%),Boeing 747,565,12,5,5,137,316,0,18,Boeing,747
China Eastern Airlines,China Cargo Airlines,Boeing 747,3,12,2,5,137,316,947,13.2,Boeing,747
China Southern Airlines,China Southern Airlines,Boeing 747,2,12,261,2,137,316,632,14.4,Boeing,747
Delta Airlines,Delta Airlines,Boeing 747,7,12,29,36,137,316,2211,25.5,Boeing,747
EgyptAir,EgyptAir,Boeing 747,565,12,10,10,137,316,0,18,Boeing,747
El Al,El Al,Boeing 747,7,12,19,26,137,316,2211,21.4,Boeing,747
Emirates,Emirates,Boeing 747,2,12,4,6,137,316,632,9.2,Boeing,747
Etihad Airways,Etihad Airways,Boeing 747,1,12,1,2,137,316,316,17.7,Boeing,747
EVA Air,EVA Air,Boeing 747,9,12,10,19,137,316,2842,19,Boeing,747
FedEx Express,FedEx Express,Boeing 747,565,12,22,22,137,316,0,18,Boeing,747
Garuda Indonesia,Garuda Indonesia,Boeing 747,2,12,61,63,137,316,632,22.8,Boeing,747
Gulf Air,Gulf Air,Boeing 747,565,12,2,2,137,316,0,18,Boeing,747
IAG,Iberia,Boeing 747,565,12,21,21,137,316,0,18,Boeing,747
IAG,British Airways,Boeing 747,37,12,64,101,137,316,11685,20.4,Boeing,747
IAG,Aer Lingus,Boeing 747,565,12,4,4,137,316,0,18,Boeing,747
Iceland Air Group,Iceland Air Group,Boeing 747,565,12,1,1,137,316,0,18,Boeing,747
Japan Airlines,Japan Airlines,Boeing 747,565,12,114,114,137,316,0,18,Boeing,747
Korean Air,Korean Air,Boeing 747,34,4,50,88,7,316,10737,10.8,Boeing,747
Lion Air,Lion Air,Boeing 747,2,12,261,2,137,316,632,27.3,Boeing,747
Lufthansa,Lufthansa Cargo,Boeing 747,565,12,10,10,137,316,0,18,Boeing,747
Lufthansa,Lufthansa,Boeing 747,32,12,48,80,137,316,10106,9.1,Boeing,747
Malaysia Airlines,Malaysia Airlines,Boeing 747,2,12,42,44,137,316,632,10.7,Boeing,747
Pakistan International Airlines,Pakistan International Airlines,Boeing 747,565,12,15,15,137,316,0,18,Boeing,747
Philippine Airlines,Philippine Airlines,Boeing 747,565,12,18,18,137,316,0,18,Boeing,747
Qantas Airways,Qantas Airways,Boeing 747,11,12,54,65,137,316,3474,16.7,Boeing,747
Qantas Airways,Qantas Freight,Boeing 747,3,12,261,54,137,316,947,18,Boeing,747
Qatar Airways,Qatar Airways,Boeing 747,565,12,3,3,137,316,0,18,Boeing,747
Royal Air Maroc,Royal Air Maroc,Boeing 747,1,12,3,4,137,316,316,23.9,Boeing,747
Royal Jordanian,Royal Jordanian,Boeing 747,565,12,2,2,137,316,0,18,Boeing,747
SAS Group,Scandinavian Airlines,Boeing 747,565,12,10,10,137,316,0,18,Boeing,747
Saudi Arabian Airlines,Saudi Arabian Airlines,Boeing 747,21,12,107,128,137,316,6632,16.8,Boeing,747
Singapore Airlines,Singapore Airlines,Boeing 747,565,12,80,80,137,316,0,18,Boeing,747
Singapore Airlines,Singapore Airlines Cargo,Boeing 747,9,12,11,20,137,316,2842,14.4,Boeing,747
South African Airways,South African Airways,Boeing 747,565,12,28,28,137,316,0,18,Boeing,747
TAP Portugal,TAP Portugal,Boeing 747,565,12,4,4,137,316,0,18,Boeing,747
Thai Airways,Thai Airways,Boeing 747,10,12,16,26,137,316,3158,17.8,Boeing,747
Thomas Cook Airlines,Condor,Boeing 747,565,12,4,4,137,316,0,18,Boeing,747
Tunisair,Tunisair,Boeing 747,565,12,1,1,137,316,0,18,Boeing,747
United Airlines,United Airlines,Boeing 747,21,12,67,88,137,316,6632,21.2,Boeing,747
UPS Airlines,UPS,Boeing 747,13,12,27,40,14,316,4105,15,Boeing,747
Virgin Atlantic Airways,Virgin Atlantic Airways,Boeing 747,8,12,22,30,137,316,2526,17.1,Boeing,747
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,565,12,1,1,137,73,0,18,Boeing,757
Air Astana,Air Astana,Boeing 757,5,12,261,5,137,73,363,19.5,Boeing,757
Air Berlin,Air Berlin,Boeing 757,565,12,4,4,137,73,0,18,Boeing,757
Air China,Air China,Boeing 757,565,12,13,13,137,73,0,18,Boeing,757
Air China,Air Macau (66.9%),Boeing 757,565,12,1,1,137,73,0,18,Boeing,757
Air China,Air China Cargo,Boeing 757,4,12,261,4,137,73,290,20.4,Boeing,757
Air Europa,Air Europa,Boeing 757,565,12,16,16,137,73,0,18,Boeing,757
Air France/KLM,Transavia,Boeing 757,565,12,10,10,137,73,0,18,Boeing,757
Air France/KLM,Martinair,Boeing 757,565,12,2,2,137,73,0,18,Boeing,757
Air India,Air India,Boeing 757,565,12,1,1,137,73,0,18,Boeing,757
Air Transat,Air Transat,Boeing 757,565,12,9,9,137,73,0,18,Boeing,757
Air Transport International,Air Transport International,Boeing 757,8,12,261,8,137,73,580,27.2,Boeing,757
Allegiant Air,Allegiant Air,Boeing 757,4,12,2,6,137,73,290,23.6,Boeing,757
American Airlines,American Airlines,Boeing 757,51,12,126,177,137,73,3698,17.9,Boeing,757
Atlas Air,Atlas Air,Boeing 757,565,12,1,1,137,73,0,18,Boeing,757
Avianca,Avianca,Boeing 757,565,12,21,21,137,73,0,18,Boeing,757
Cebu Pacific Air,Cebu Pacific Air,Boeing 757,565,12,3,3,137,73,0,18,Boeing,757
China Eastern Airlines,China Cargo Airlines,Boeing 757,565,12,2,2,137,73,0,18,Boeing,757
China Eastern Airlines,Shanghai Airlines,Boeing 757,565,12,13,13,137,73,0,18,Boeing,757
China Southern Airlines,China Southern Airlines,Boeing 757,7,12,24,31,137,73,508,17.8,Boeing,757
Delta Airlines,Delta Airlines,Boeing 757,128,12,78,206,137,73,9280,19.5,Boeing,757
easyJet,easyJet,Boeing 757,565,12,4,4,137,73,0,18,Boeing,757
